date,product_id,dc_id,inventory,demand,lead_time,cost,supplier_performance
2024-01-01,PROD_0,DC_0,676,134,3,23.038147237190444,72.0
2024-01-01,PROD_0,DC_1,512,51,5,42.86531876048827,97.0
2024-01-01,PROD_0,DC_2,307,107,8,63.87034538670597,78.0
2024-01-01,PROD_1,DC_0,826,75,9,99.74604321723658,83.0
2024-01-01,PROD_1,DC_1,356,194,3,25.51947017289098,76.0
2024-01-01,PROD_1,DC_2,233,139,1,45.1302473862221,74.0
2024-01-01,PROD_2,DC_0,882,92,7,76.70427344583918,71.0
2024-01-01,PROD_2,DC_1,868,180,9,37.140654278083744,87.0
2024-01-01,PROD_2,DC_2,831,127,7,60.699258017933836,93.0
2024-01-01,PROD_3,DC_0,624,110,5,55.1486276979484,70.0
2024-01-01,PROD_3,DC_1,232,146,4,28.07842318996322,77.0
2024-01-01,PROD_3,DC_2,882,110,3,93.18083901709464,85.0
2024-01-01,PROD_4,DC_0,743,98,4,47.86510281730606,73.0
2024-01-01,PROD_4,DC_1,540,77,4,18.631072604405276,98.0
2024-01-01,PROD_4,DC_2,849,79,8,51.58365587143328,82.0
2024-01-01,PROD_5,DC_0,403,185,1,46.403251995304885,99.0
2024-01-01,PROD_5,DC_1,350,103,9,28.65032829087971,75.0
2024-01-01,PROD_5,DC_2,648,166,9,68.3372633680612,98.0
2024-01-01,PROD_6,DC_0,821,161,2,96.83925064600346,94.0
2024-01-01,PROD_6,DC_1,263,126,7,42.583891630635215,85.0
2024-01-01,PROD_6,DC_2,145,198,8,99.42122166464287,70.0
2024-01-01,PROD_7,DC_0,923,174,9,45.24764738152413,94.0
2024-01-01,PROD_7,DC_1,796,137,7,14.860538896341087,94.0
2024-01-01,PROD_7,DC_2,338,91,2,76.48014847215622,87.0
2024-01-01,PROD_8,DC_0,107,57,2,99.81907966214222,83.0
2024-01-01,PROD_8,DC_1,339,190,5,57.85066073106429,89.0
2024-01-01,PROD_8,DC_2,550,143,7,67.85136734660412,89.0
2024-01-01,PROD_9,DC_0,856,60,5,43.38487659889971,91.0
2024-01-01,PROD_9,DC_1,429,138,8,96.46651996774762,85.0
2024-01-01,PROD_9,DC_2,919,165,7,69.27748837273997,95.0
2024-01-02,PROD_0,DC_0,550,179,6,98.75162680117131,78.0
2024-01-02,PROD_0,DC_1,402,56,8,64.14868096698554,94.0
2024-01-02,PROD_0,DC_2,935,107,2,62.78301234691518,93.0
2024-01-02,PROD_1,DC_0,419,196,3,30.705831871023488,76.0
2024-01-02,PROD_1,DC_1,262,80,4,41.47454020512501,79.0
2024-01-02,PROD_1,DC_2,165,169,6,68.065030698801,81.0
2024-01-02,PROD_2,DC_0,779,88,6,11.446753437885441,74.0
2024-01-02,PROD_2,DC_1,637,60,4,40.54308635914284,88.0
2024-01-02,PROD_2,DC_2,602,80,2,99.39542010910641,82.0
2024-01-02,PROD_3,DC_0,532,106,5,82.48474998672116,86.0
2024-01-02,PROD_3,DC_1,377,114,6,24.77145991224817,79.0
2024-01-02,PROD_3,DC_2,471,189,5,55.556123508268946,99.0
2024-01-02,PROD_4,DC_0,533,158,3,28.068482449632135,78.0
2024-01-02,PROD_4,DC_1,162,76,6,49.57810864588362,81.0
2024-01-02,PROD_4,DC_2,876,91,5,75.97969616609879,77.0
2024-01-02,PROD_5,DC_0,186,159,9,97.43671608475998,79.0
2024-01-02,PROD_5,DC_1,328,151,5,48.93548808079298,74.0
2024-01-02,PROD_5,DC_2,889,72,1,87.78063883145492,98.0
2024-01-02,PROD_6,DC_0,177,50,5,95.21547918261616,78.0
2024-01-02,PROD_6,DC_1,454,50,9,59.80720374906576,83.0
2024-01-02,PROD_6,DC_2,880,178,9,85.94343883013347,86.0
2024-01-02,PROD_7,DC_0,276,149,8,83.7386111163166,76.0
2024-01-02,PROD_7,DC_1,157,193,4,65.12719101650688,76.0
2024-01-02,PROD_7,DC_2,623,148,2,29.498537306869874,97.0
2024-01-02,PROD_8,DC_0,926,131,8,85.34190669658065,90.0
2024-01-02,PROD_8,DC_1,317,103,4,39.57084164520019,85.0
2024-01-02,PROD_8,DC_2,121,161,3,32.813490461463516,98.0
2024-01-02,PROD_9,DC_0,980,54,1,69.57668518904435,90.0
2024-01-02,PROD_9,DC_1,833,191,5,83.70898926478363,85.0
2024-01-02,PROD_9,DC_2,830,88,4,20.69637162434592,88.0
2024-01-03,PROD_0,DC_0,511,89,7,71.0850689327217,86.0
2024-01-03,PROD_0,DC_1,175,169,4,45.033816541589665,85.0
2024-01-03,PROD_0,DC_2,896,135,3,93.80042016802534,87.0
2024-01-03,PROD_1,DC_0,509,71,6,23.97267723780869,82.0
2024-01-03,PROD_1,DC_1,408,137,9,39.51828817465808,99.0
2024-01-03,PROD_1,DC_2,251,52,7,48.7050480669961,71.0
2024-01-03,PROD_2,DC_0,442,53,1,90.51133058056286,89.0
2024-01-03,PROD_2,DC_1,635,99,3,59.799708299024026,95.0
2024-01-03,PROD_2,DC_2,734,55,7,26.899144439342763,79.0
2024-01-03,PROD_3,DC_0,981,184,6,27.46738794677312,99.0
2024-01-03,PROD_3,DC_1,954,180,9,83.71237035614467,92.0
2024-01-03,PROD_3,DC_2,539,155,1,47.834085181493165,72.0
2024-01-03,PROD_4,DC_0,968,196,5,69.63626753883051,83.0
2024-01-03,PROD_4,DC_1,952,95,2,95.1069116657758,91.0
2024-01-03,PROD_4,DC_2,324,138,3,94.92029413718971,95.0
2024-01-03,PROD_5,DC_0,842,108,3,35.492110068997164,84.0
2024-01-03,PROD_5,DC_1,401,99,6,90.70434611509313,88.0
2024-01-03,PROD_5,DC_2,115,62,7,53.580253461607185,96.0
2024-01-03,PROD_6,DC_0,744,76,1,72.78403351538871,70.0
2024-01-03,PROD_6,DC_1,993,71,6,36.094521258105715,80.0
2024-01-03,PROD_6,DC_2,877,100,1,22.044860268562353,97.0
2024-01-03,PROD_7,DC_0,908,181,7,83.51918418399795,70.0
2024-01-03,PROD_7,DC_1,357,67,5,81.4812593103688,86.0
2024-01-03,PROD_7,DC_2,689,99,3,14.884145471104334,94.0
2024-01-03,PROD_8,DC_0,382,129,4,41.547478180775826,75.0
2024-01-03,PROD_8,DC_1,847,67,2,83.45500105314127,98.0
2024-01-03,PROD_8,DC_2,741,69,9,89.80196950474472,80.0
2024-01-03,PROD_9,DC_0,456,103,7,84.44727488137899,86.0
2024-01-03,PROD_9,DC_1,731,59,6,48.91921074798727,87.0
2024-01-03,PROD_9,DC_2,388,148,1,28.06847409094757,96.0
2024-01-04,PROD_0,DC_0,385,168,1,61.731333283720744,95.0
2024-01-04,PROD_0,DC_1,717,89,9,93.45115244658413,94.0
2024-01-04,PROD_0,DC_2,428,76,3,15.60978000585634,74.0
2024-01-04,PROD_1,DC_0,332,94,6,50.38985028786154,97.0
2024-01-04,PROD_1,DC_1,508,126,3,71.31245435025536,78.0
2024-01-04,PROD_1,DC_2,384,72,6,63.77743030371686,86.0
2024-01-04,PROD_2,DC_0,299,147,4,40.34708396179707,96.0
2024-01-04,PROD_2,DC_1,118,152,1,62.67816620280491,99.0
2024-01-04,PROD_2,DC_2,774,135,9,51.80161996930543,78.0
2024-01-04,PROD_3,DC_0,908,184,1,36.61402693200965,93.0
2024-01-04,PROD_3,DC_1,565,161,9,30.469539397971623,73.0
2024-01-04,PROD_3,DC_2,761,122,6,13.512377392016104,78.0
2024-01-04,PROD_4,DC_0,204,83,9,20.006139862511436,92.0
2024-01-04,PROD_4,DC_1,511,196,5,82.51896157957721,72.0
2024-01-04,PROD_4,DC_2,907,136,1,48.59638721551564,73.0
2024-01-04,PROD_5,DC_0,616,168,2,76.31870656838484,99.0
2024-01-04,PROD_5,DC_1,500,119,8,57.687722547651305,92.0
2024-01-04,PROD_5,DC_2,846,52,3,53.694122822003166,83.0
2024-01-04,PROD_6,DC_0,437,149,4,10.578723697153734,79.0
2024-01-04,PROD_6,DC_1,635,110,1,11.046445482442822,78.0
2024-01-04,PROD_6,DC_2,898,167,2,70.07089620702897,85.0
2024-01-04,PROD_7,DC_0,174,109,1,53.63670438694664,73.0
2024-01-04,PROD_7,DC_1,430,50,1,89.50226886675382,72.0
2024-01-04,PROD_7,DC_2,736,64,9,11.703669783851197,84.0
2024-01-04,PROD_8,DC_0,732,185,5,87.09855342626544,94.0
2024-01-04,PROD_8,DC_1,324,121,4,63.10338766825026,80.0
2024-01-04,PROD_8,DC_2,220,154,1,73.01286141473261,89.0
2024-01-04,PROD_9,DC_0,536,134,6,57.7398983822,98.0
2024-01-04,PROD_9,DC_1,624,199,5,31.358140050442245,77.0
2024-01-04,PROD_9,DC_2,364,121,4,73.49438310769136,94.0
2024-01-05,PROD_0,DC_0,723,86,2,12.903908664688066,90.0
2024-01-05,PROD_0,DC_1,365,158,2,37.828997312348875,78.0
2024-01-05,PROD_0,DC_2,839,115,2,98.19301247793264,80.0
2024-01-05,PROD_1,DC_0,600,174,6,12.66016909837836,72.0
2024-01-05,PROD_1,DC_1,684,108,8,23.932304441580662,92.0
2024-01-05,PROD_1,DC_2,492,127,6,29.416049782681906,86.0
2024-01-05,PROD_2,DC_0,369,52,5,15.472883573090211,73.0
2024-01-05,PROD_2,DC_1,484,119,8,76.36424753677728,90.0
2024-01-05,PROD_2,DC_2,265,194,7,69.17158344421233,96.0
2024-01-05,PROD_3,DC_0,124,119,1,81.55195050412158,98.0
2024-01-05,PROD_3,DC_1,796,82,5,67.9731132893298,74.0
2024-01-05,PROD_3,DC_2,121,105,7,67.3212904761796,87.0
2024-01-05,PROD_4,DC_0,761,69,4,45.21893849604851,88.0
2024-01-05,PROD_4,DC_1,847,176,1,69.2437067659639,79.0
2024-01-05,PROD_4,DC_2,301,177,5,29.782096408118527,86.0
2024-01-05,PROD_5,DC_0,308,143,8,47.04880153533962,79.0
2024-01-05,PROD_5,DC_1,434,146,2,46.593363363620576,70.0
