date,product_id,dc_id,inventory,demand,lead_time,cost,supplier_performance
2024-01-01,PROD_0,DC_0,824,99,3,10.112856287997133,99.0
2024-01-01,PROD_0,DC_1,678,109,6,37.79671814625347,76.0
2024-01-01,PROD_0,DC_2,513,89,6,86.79467964991846,95.0
2024-01-01,PROD_1,DC_0,116,64,9,74.2915845639419,97.0
2024-01-01,PROD_1,DC_1,434,177,9,55.19829673870955,99.0
2024-01-01,PROD_1,DC_2,998,86,8,51.73334072383837,86.0
2024-01-01,PROD_2,DC_0,373,79,3,56.41119040122128,80.0
2024-01-01,PROD_2,DC_1,795,134,3,17.351051857941307,87.0
2024-01-01,PROD_2,DC_2,365,143,5,68.67194626878286,79.0
2024-01-01,PROD_3,DC_0,359,145,5,93.04619619063149,73.0
2024-01-01,PROD_3,DC_1,138,57,5,79.55970451105945,96.0
2024-01-01,PROD_3,DC_2,238,69,8,38.54680337339687,99.0
2024-01-01,PROD_4,DC_0,904,97,4,52.385267764789276,71.0
2024-01-01,PROD_4,DC_1,855,192,5,20.83782787055578,89.0
2024-01-01,PROD_4,DC_2,656,143,5,81.85129202931688,98.0
2024-01-01,PROD_5,DC_0,186,133,5,86.05339066570879,77.0
2024-01-01,PROD_5,DC_1,611,155,4,37.88492225611765,86.0
2024-01-01,PROD_5,DC_2,338,63,3,21.840008463418055,90.0
2024-01-01,PROD_6,DC_0,854,160,6,78.85132960388188,95.0
2024-01-01,PROD_6,DC_1,124,120,3,27.895093795186074,90.0
2024-01-01,PROD_6,DC_2,972,83,3,89.94969266976585,96.0
2024-01-01,PROD_7,DC_0,462,157,1,51.34025233478807,93.0
2024-01-01,PROD_7,DC_1,790,66,1,87.18709904108394,78.0
2024-01-01,PROD_7,DC_2,145,166,4,20.801115373233785,73.0
2024-01-01,PROD_8,DC_0,277,162,4,20.077819391203697,78.0
2024-01-01,PROD_8,DC_1,627,64,2,10.208534815239458,89.0
2024-01-01,PROD_8,DC_2,639,156,8,54.24559775159977,98.0
2024-01-01,PROD_9,DC_0,760,72,1,66.21261828604972,93.0
2024-01-01,PROD_9,DC_1,242,98,5,55.21169014657818,75.0
2024-01-01,PROD_9,DC_2,923,159,2,11.911762905870496,73.0
2024-01-02,PROD_0,DC_0,975,87,7,72.50822790610864,85.0
2024-01-02,PROD_0,DC_1,450,128,6,85.28216627518029,98.0
2024-01-02,PROD_0,DC_2,832,173,2,22.228732120414964,92.0
2024-01-02,PROD_1,DC_0,114,181,4,44.196132356186254,70.0
2024-01-02,PROD_1,DC_1,914,136,3,98.2606245261338,78.0
2024-01-02,PROD_1,DC_2,203,112,9,47.53771642073777,75.0
2024-01-02,PROD_2,DC_0,229,198,3,86.1910460074071,76.0
2024-01-02,PROD_2,DC_1,227,103,7,68.97072816373444,79.0
2024-01-02,PROD_2,DC_2,993,189,3,83.80491067772041,77.0
2024-01-02,PROD_3,DC_0,495,191,4,71.62011808023783,75.0
2024-01-02,PROD_3,DC_1,801,112,8,60.94605580604149,73.0
2024-01-02,PROD_3,DC_2,946,190,4,45.90861953885201,88.0
2024-01-02,PROD_4,DC_0,992,157,8,55.51506437069886,97.0
2024-01-02,PROD_4,DC_1,438,164,4,27.74669836891119,87.0
2024-01-02,PROD_4,DC_2,205,142,1,20.788259544161704,95.0
2024-01-02,PROD_5,DC_0,969,160,7,64.62099269165478,91.0
2024-01-02,PROD_5,DC_1,814,158,2,80.41889263762612,98.0
2024-01-02,PROD_5,DC_2,133,91,2,27.332238605971327,87.0
2024-01-02,PROD_6,DC_0,153,83,3,31.10146959904258,70.0
2024-01-02,PROD_6,DC_1,416,73,2,87.99089124557669,96.0
2024-01-02,PROD_6,DC_2,343,68,8,76.07641775833054,88.0
2024-01-02,PROD_7,DC_0,854,116,9,44.07181494572902,98.0
2024-01-02,PROD_7,DC_1,677,125,9,16.848002700309124,80.0
2024-01-02,PROD_7,DC_2,600,78,4,71.3569986652027,72.0
2024-01-02,PROD_8,DC_0,973,156,1,91.55808646495235,85.0
2024-01-02,PROD_8,DC_1,863,76,6,83.24645508634401,85.0
2024-01-02,PROD_8,DC_2,643,95,7,64.04290163984732,73.0
2024-01-02,PROD_9,DC_0,531,108,4,39.82410184212203,96.0
2024-01-02,PROD_9,DC_1,911,197,8,33.19102158227295,70.0
2024-01-02,PROD_9,DC_2,436,74,2,37.60950902060148,93.0
2024-01-03,PROD_0,DC_0,900,185,4,10.341479778062993,72.0
2024-01-03,PROD_0,DC_1,259,133,9,35.38008229881262,76.0
2024-01-03,PROD_0,DC_2,269,135,9,58.455166660585284,82.0
2024-01-03,PROD_1,DC_0,458,53,8,37.7157305551472,76.0
2024-01-03,PROD_1,DC_1,971,114,8,16.140822324619094,83.0
2024-01-03,PROD_1,DC_2,711,84,7,40.28718917729941,94.0
2024-01-03,PROD_2,DC_0,830,157,3,95.96297849354019,99.0
2024-01-03,PROD_2,DC_1,886,129,2,42.95011848338283,89.0
2024-01-03,PROD_2,DC_2,139,124,2,98.4753261315868,76.0
2024-01-03,PROD_3,DC_0,376,87,1,49.9014517526223,80.0
2024-01-03,PROD_3,DC_1,741,139,3,59.12540229318382,90.0
2024-01-03,PROD_3,DC_2,816,76,8,38.91109457593406,85.0
2024-01-03,PROD_4,DC_0,494,122,5,74.6297032454556,92.0
2024-01-03,PROD_4,DC_1,820,148,8,91.65514188143416,79.0
2024-01-03,PROD_4,DC_2,474,149,9,92.32018857208435,95.0
2024-01-03,PROD_5,DC_0,326,183,2,87.82191394825952,99.0
2024-01-03,PROD_5,DC_1,441,139,3,25.77077886352823,98.0
2024-01-03,PROD_5,DC_2,453,191,1,16.57673314734435,88.0
2024-01-03,PROD_6,DC_0,154,182,2,90.05847263370532,92.0
2024-01-03,PROD_6,DC_1,496,73,8,13.09177417135174,81.0
2024-01-03,PROD_6,DC_2,462,121,1,76.93788003266866,83.0
2024-01-03,PROD_7,DC_0,797,176,7,11.003885365140007,77.0
2024-01-03,PROD_7,DC_1,327,76,9,64.05359006852618,80.0
2024-01-03,PROD_7,DC_2,684,151,2,97.46792346250562,73.0
2024-01-03,PROD_8,DC_0,693,78,4,60.58326672859051,96.0
2024-01-03,PROD_8,DC_1,184,106,1,22.461903888430385,77.0
2024-01-03,PROD_8,DC_2,911,78,6,81.22402984920902,80.0
2024-01-03,PROD_9,DC_0,391,98,8,81.00389483629938,72.0
2024-01-03,PROD_9,DC_1,471,135,4,56.78845670757446,70.0
2024-01-03,PROD_9,DC_2,994,62,6,64.12798728901203,72.0
2024-01-04,PROD_0,DC_0,811,150,7,21.93421566265543,78.0
2024-01-04,PROD_0,DC_1,436,117,9,44.25382895801628,82.0
2024-01-04,PROD_0,DC_2,314,65,6,64.6387595090336,75.0
2024-01-04,PROD_1,DC_0,332,117,5,90.71142462850875,85.0
2024-01-04,PROD_1,DC_1,529,108,5,36.28212575084798,96.0
2024-01-04,PROD_1,DC_2,731,57,3,35.027194698790495,72.0
